Gradients,Gradients 2K,Gradients 4K,Gradients 6K,Gradients 8K,Gradients 10K,Gradients 12K,Gradients 14K,Gradients 16K,Gradients 18K,Gradients 20K,Gradients 22K
Gradients 2K,4,4,4,4,4,4,4,4,3,1,1
Gradients 4K,4,4,4,4,4,4,4,4,2,1,1
Gradients 6K,4,4,4,4,4,4,4,3,1,1,1
Gradients 8K,4,4,4,4,4,4,3,2,1,1,1
Gradients 10K,4,4,4,4,4,4,4,4,1,1,1
Gradients 12K,4,4,4,4,4,4,4,4,1,1,1
Gradients 14K,4,4,4,3,4,4,4,4,4,1,1
Gradients 16K,4,4,3,2,4,4,4,4,4,1,1
Gradients 18K,3,2,1,1,1,1,4,4,4,4,1
Gradients 20K,1,1,1,1,1,1,1,1,4,4,1
Gradients 22K,1,1,1,1,1,1,1,1,1,1,4
