LCZs,LCZ 1,LCZ 2,LCZ 3,LCZ 4,LCZ 5,LCZ 6,LCZ 7,LCZ 8,LCZ 9,LCZ 10,LCZ A,LCZ B,LCZ C,LCZ D,LCZ E,LCZ F,LCZ G
LCZ 1,4,2,4,2,4,1,3,4,2,4,1,1,1,1,1,1,1
LCZ 2,2,4,4,1,2,4,4,4,1,2,4,1,1,1,1,1,4
LCZ 3,4,4,4,1,4,4,4,4,1,3,4,1,1,1,1,1,4
LCZ 4,2,1,1,4,2,1,2,3,4,4,1,1,1,1,1,1,1
LCZ 5,4,2,4,2,4,1,3,4,2,4,1,1,1,1,1,1,1
LCZ 6,1,4,4,1,1,4,4,3,1,2,4,1,1,1,1,1,4
LCZ 7,3,4,4,2,3,4,4,4,2,2,4,4,4,4,4,4,4
LCZ 8,4,4,4,3,4,3,4,4,2,4,4,1,1,1,1,1,1
LCZ 9,2,1,1,4,2,1,2,2,4,4,1,1,1,1,1,1,1
LCZ 10,4,2,3,4,4,2,2,4,4,4,3,1,1,1,1,1,1
LCZ A,1,4,4,1,1,4,4,4,1,3,4,1,1,1,1,1,3
LCZ B,1,1,1,1,1,1,4,1,1,1,1,4,3,1,1,1,1
LCZ C,1,1,1,1,1,1,4,1,1,1,1,3,4,1,1,1,2
LCZ D,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,3,1
LCZ E,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,4,1
LCZ F,1,1,1,1,1,1,4,1,1,1,1,1,1,3,4,4,1
LCZ G,1,4,4,1,1,4,4,1,1,1,3,1,2,1,1,1,4
